pair_ID	relatedness_score	entailment_judgment
 6	2.554000	NEUTRAL
7	2.831943	NEUTRAL
8	2.474484	NEUTRAL
10	3.259898	ENTAILMENT
11	3.548412	ENTAILMENT
13	2.151517	NEUTRAL
15	2.671373	NEUTRAL
16	1.994637	NEUTRAL
17	1.874639	NEUTRAL
19	3.395714	ENTAILMENT
20	3.136674	CONTRADICTION
21	3.397706	ENTAILMENT
22	3.633531	ENTAILMENT
23	3.063639	CONTRADICTION
27	2.064693	NEUTRAL
29	2.644170	NEUTRAL
31	3.260386	ENTAILMENT
32	3.353319	NEUTRAL
33	3.393074	ENTAILMENT
34	3.907747	ENTAILMENT
36	2.657617	NEUTRAL
37	2.993872	NEUTRAL
38	2.403751	NEUTRAL
39	2.603673	NEUTRAL
41	3.679793	ENTAILMENT
43	3.903759	ENTAILMENT
46	2.832646	NEUTRAL
48	2.524782	NEUTRAL
50	2.242387	NEUTRAL
51	2.525937	NEUTRAL
52	3.853857	ENTAILMENT
53	3.299608	ENTAILMENT
54	3.133957	NEUTRAL
57	2.990048	NEUTRAL
59	2.873693	NEUTRAL
60	2.817545	NEUTRAL
61	2.903267	NEUTRAL
63	3.680918	ENTAILMENT
64	3.143394	NEUTRAL
66	3.178684	NEUTRAL
67	3.396364	CONTRADICTION
68	2.517620	NEUTRAL
69	3.102030	CONTRADICTION
71	3.087252	CONTRADICTION
74	3.697150	ENTAILMENT
75	3.689915	NEUTRAL
76	2.249678	NEUTRAL
80	3.016756	NEUTRAL
86	2.224971	NEUTRAL
89	3.444434	ENTAILMENT
92	3.370988	NEUTRAL
95	2.536488	NEUTRAL
96	2.435129	NEUTRAL
101	3.710178	ENTAILMENT
102	3.448450	NEUTRAL
103	3.515412	NEUTRAL
104	3.627428	NEUTRAL
106	3.358399	NEUTRAL
108	2.490572	NEUTRAL
109	2.962731	NEUTRAL
110	2.713302	NEUTRAL
111	1.970737	NEUTRAL
114	2.275268	NEUTRAL
115	2.008264	NEUTRAL
118	3.176512	NEUTRAL
121	3.345645	ENTAILMENT
123	2.667682	NEUTRAL
125	2.861360	NEUTRAL
128	2.686416	NEUTRAL
132	3.148794	CONTRADICTION
134	3.149151	ENTAILMENT
135	3.031539	NEUTRAL
137	3.197546	NEUTRAL
138	2.428596	NEUTRAL
142	2.614677	NEUTRAL
143	3.020788	CONTRADICTION
144	2.818157	NEUTRAL
145	2.310281	NEUTRAL
147	2.309231	NEUTRAL
149	3.192693	NEUTRAL
151	2.908107	ENTAILMENT
152	2.625720	NEUTRAL
153	3.337282	ENTAILMENT
154	3.029031	NEUTRAL
155	2.931685	NEUTRAL
156	1.944898	NEUTRAL
157	3.300924	ENTAILMENT
158	3.355336	ENTAILMENT
160	3.048555	NEUTRAL
162	2.593928	NEUTRAL
165	2.233079	NEUTRAL
166	3.346756	NEUTRAL
167	3.042425	ENTAILMENT
168	2.810928	ENTAILMENT
169	3.487521	ENTAILMENT
171	2.905693	ENTAILMENT
172	2.476350	ENTAILMENT
174	2.859916	ENTAILMENT
175	3.037348	ENTAILMENT
177	3.116917	ENTAILMENT
178	3.228108	ENTAILMENT
179	2.894680	NEUTRAL
180	3.762899	ENTAILMENT
181	3.391745	ENTAILMENT
182	3.425320	NEUTRAL
187	3.449290	NEUTRAL
189	2.706046	NEUTRAL
190	3.361256	NEUTRAL
191	3.134279	NEUTRAL
193	3.419393	CONTRADICTION
195	2.952102	NEUTRAL
196	3.400962	NEUTRAL
198	3.501423	NEUTRAL
199	3.731404	NEUTRAL
203	2.893031	NEUTRAL
204	2.687826	NEUTRAL
206	2.338609	NEUTRAL
207	2.372114	NEUTRAL
208	2.535654	NEUTRAL
209	3.367853	NEUTRAL
210	3.064792	NEUTRAL
212	3.679281	ENTAILMENT
213	1.856477	NEUTRAL
214	2.424477	NEUTRAL
220	3.132528	CONTRADICTION
221	3.133561	ENTAILMENT
222	3.208344	ENTAILMENT
229	3.767783	ENTAILMENT
230	3.161560	NEUTRAL
231	3.489707	ENTAILMENT
235	2.382692	NEUTRAL
239	2.555990	NEUTRAL
242	2.478761	NEUTRAL
243	2.654012	NEUTRAL
244	2.856904	ENTAILMENT
245	3.142093	NEUTRAL
246	2.374682	NEUTRAL
247	2.297523	NEUTRAL
250	2.817623	NEUTRAL
251	2.024910	NEUTRAL
252	2.631968	NEUTRAL
255	2.803851	ENTAILMENT
261	2.602680	NEUTRAL
262	3.400095	ENTAILMENT
263	2.814580	ENTAILMENT
264	3.007141	ENTAILMENT
267	2.282285	NEUTRAL
268	2.640464	NEUTRAL
270	3.026605	NEUTRAL
271	2.752846	NEUTRAL
274	3.766312	ENTAILMENT
275	3.318198	ENTAILMENT
278	2.906531	NEUTRAL
281	2.406514	NEUTRAL
282	3.907417	CONTRADICTION
284	3.138936	ENTAILMENT
288	2.449953	NEUTRAL
290	2.689869	NEUTRAL
292	2.581426	NEUTRAL
294	3.606496	ENTAILMENT
295	2.737945	NEUTRAL
297	1.865703	NEUTRAL
298	2.286646	NEUTRAL
299	1.988444	NEUTRAL
300	3.719064	ENTAILMENT
306	2.980581	NEUTRAL
307	3.085598	NEUTRAL
308	2.259986	NEUTRAL
314	3.153178	NEUTRAL
316	3.084320	NEUTRAL
318	2.043501	NEUTRAL
319	2.955668	NEUTRAL
320	2.636856	NEUTRAL
321	2.994708	NEUTRAL
322	3.116127	ENTAILMENT
324	3.662363	ENTAILMENT
325	2.524066	NEUTRAL
326	2.425799	NEUTRAL
328	2.413507	NEUTRAL
330	2.344199	NEUTRAL
334	3.576377	ENTAILMENT
336	2.617770	NEUTRAL
337	1.926874	NEUTRAL
343	3.536482	ENTAILMENT
345	2.619409	NEUTRAL
348	2.907259	NEUTRAL
349	2.090164	NEUTRAL
350	2.046086	NEUTRAL
352	3.377252	CONTRADICTION
353	3.376207	ENTAILMENT
355	3.242230	NEUTRAL
356	2.536364	NEUTRAL
357	3.152344	NEUTRAL
359	2.588710	NEUTRAL
364	3.199422	ENTAILMENT
365	3.549522	ENTAILMENT
368	3.154925	NEUTRAL
369	3.168086	NEUTRAL
371	3.585940	ENTAILMENT
376	2.087255	NEUTRAL
383	3.527615	NEUTRAL
385	2.906742	NEUTRAL
386	3.065569	NEUTRAL
388	3.292506	NEUTRAL
389	2.477505	NEUTRAL
399	2.802262	NEUTRAL
400	2.705925	NEUTRAL
401	2.284477	NEUTRAL
405	2.581877	NEUTRAL
406	3.018813	NEUTRAL
407	2.035893	NEUTRAL
408	2.815144	NEUTRAL
411	3.091840	NEUTRAL
412	3.224361	ENTAILMENT
414	3.779141	ENTAILMENT
416	3.421836	NEUTRAL
418	2.849700	NEUTRAL
419	2.838414	ENTAILMENT
420	3.072900	NEUTRAL
421	3.024698	NEUTRAL
424	2.518828	ENTAILMENT
425	3.399281	NEUTRAL
426	3.732237	ENTAILMENT
429	3.013191	NEUTRAL
430	3.407184	ENTAILMENT
431	2.811550	NEUTRAL
432	3.394134	ENTAILMENT
433	3.306051	ENTAILMENT
437	2.870819	NEUTRAL
443	2.817175	CONTRADICTION
444	3.454654	CONTRADICTION
445	3.493404	NEUTRAL
448	2.449943	NEUTRAL
452	2.544250	NEUTRAL
453	3.428000	CONTRADICTION
455	2.960389	NEUTRAL
456	3.320326	CONTRADICTION
458	2.299118	NEUTRAL
459	2.689813	NEUTRAL
460	2.468257	NEUTRAL
463	3.385454	NEUTRAL
464	3.767549	ENTAILMENT
466	2.683827	CONTRADICTION
467	2.808999	NEUTRAL
468	2.506685	NEUTRAL
469	3.442640	NEUTRAL
471	2.636401	NEUTRAL
472	2.700560	NEUTRAL
474	3.084433	CONTRADICTION
478	2.958352	NEUTRAL
479	2.616411	NEUTRAL
480	3.131498	NEUTRAL
481	2.444398	NEUTRAL
482	3.211286	ENTAILMENT
483	2.525839	NEUTRAL
487	2.552892	NEUTRAL
488	2.773529	NEUTRAL
490	2.577390	NEUTRAL
492	2.763209	NEUTRAL
493	3.135791	NEUTRAL
495	2.788770	NEUTRAL
498	2.503346	NEUTRAL
501	3.026017	NEUTRAL
502	3.283713	ENTAILMENT
503	2.911268	CONTRADICTION
504	2.511280	NEUTRAL
509	2.905210	NEUTRAL
510	2.856483	NEUTRAL
511	3.122574	NEUTRAL
512	2.521984	NEUTRAL
517	2.704746	NEUTRAL
518	2.588892	CONTRADICTION
519	2.672782	CONTRADICTION
521	2.453875	NEUTRAL
523	3.406586	NEUTRAL
525	2.725419	NEUTRAL
532	3.501977	CONTRADICTION
533	3.758545	NEUTRAL
534	2.493177	NEUTRAL
536	2.560793	NEUTRAL
537	1.988097	NEUTRAL
539	2.604376	NEUTRAL
540	3.454926	NEUTRAL
543	2.737126	NEUTRAL
544	3.462187	NEUTRAL
546	3.461096	NEUTRAL
547	2.985825	NEUTRAL
549	2.491199	NEUTRAL
553	2.000573	NEUTRAL
554	3.148753	ENTAILMENT
558	3.465856	CONTRADICTION
559	3.359359	NEUTRAL
562	2.705253	NEUTRAL
563	2.744475	NEUTRAL
566	2.746700	NEUTRAL
567	3.487260	ENTAILMENT
569	3.230462	NEUTRAL
571	3.402484	NEUTRAL
572	3.255648	ENTAILMENT
573	2.381742	NEUTRAL
574	2.752123	NEUTRAL
575	2.443977	NEUTRAL
576	2.927561	NEUTRAL
577	3.119555	NEUTRAL
578	2.194779	NEUTRAL
579	2.263779	NEUTRAL
580	3.438617	ENTAILMENT
582	3.738854	NEUTRAL
583	3.749491	ENTAILMENT
584	3.912688	ENTAILMENT
585	2.980941	NEUTRAL
589	2.443490	NEUTRAL
590	3.555652	ENTAILMENT
591	2.814064	ENTAILMENT
593	2.922122	CONTRADICTION
594	2.817798	CONTRADICTION
595	2.728376	NEUTRAL
596	2.540614	NEUTRAL
598	2.644479	NEUTRAL
600	3.637342	ENTAILMENT
602	2.731524	NEUTRAL
607	3.076403	NEUTRAL
608	2.096614	NEUTRAL
610	2.402724	NEUTRAL
612	2.631741	NEUTRAL
613	3.393133	CONTRADICTION
614	3.363902	ENTAILMENT
615	3.220107	NEUTRAL
616	2.461065	CONTRADICTION
618	2.956350	NEUTRAL
