pair_ID	entailment_judgment	relatedness_score
1	ENTAILMENT	0.75
2	ENTAILMENT	0.666666666667
3	NEUTRAL	0.444444444444
5	NEUTRAL	0.25
9	NEUTRAL	0.25
12	NEUTRAL	0.5
14	CONTRADICTION	0.0
18	CONTRADICTION	0.0
25	NEUTRAL	0.125
26	NEUTRAL	0.125
28	NEUTRAL	0.25
30	ENTAILMENT	0.7
35	NEUTRAL	0.181818181818
40	NEUTRAL	0.222222222222
42	ENTAILMENT	0.875
44	ENTAILMENT	0.75
45	ENTAILMENT	0.666666666667
47	NEUTRAL	0.333333333333
49	NEUTRAL	0.375
55	ENTAILMENT	0.833333333333
56	ENTAILMENT	0.833333333333
58	NEUTRAL	0.428571428571
62	NEUTRAL	0.428571428571
65	ENTAILMENT	0.777777777778
70	ENTAILMENT	0.7
72	ENTAILMENT	0.6
73	ENTAILMENT	0.8
77	ENTAILMENT	0.636363636364
78	ENTAILMENT	0.727272727273
79	NEUTRAL	0.545454545455
81	NEUTRAL	0.181818181818
82	NEUTRAL	0.272727272727
83	NEUTRAL	0.181818181818
84	NEUTRAL	0.181818181818
85	NEUTRAL	0.0909090909091
87	ENTAILMENT	0.666666666667
88	ENTAILMENT	0.666666666667
90	ENTAILMENT	0.666666666667
91	NEUTRAL	0.428571428571
93	NEUTRAL	0.2
94	NEUTRAL	0.142857142857
97	NEUTRAL	0.166666666667
98	ENTAILMENT	0.857142857143
99	ENTAILMENT	0.857142857143
100	ENTAILMENT	0.777777777778
107	NEUTRAL	0.333333333333
112	CONTRADICTION	0.0
113	CONTRADICTION	0.0
117	CONTRADICTION	0.0
120	ENTAILMENT	0.583333333333
122	ENTAILMENT	0.818181818182
124	NEUTRAL	0.363636363636
126	NEUTRAL	0.272727272727
127	NEUTRAL	0.166666666667
129	ENTAILMENT	0.666666666667
130	ENTAILMENT	0.75
131	ENTAILMENT	0.714285714286
133	ENTAILMENT	0.857142857143
136	NEUTRAL	0.166666666667
139	NEUTRAL	0.142857142857
140	ENTAILMENT	0.666666666667
141	ENTAILMENT	0.625
146	NEUTRAL	0.2
148	NEUTRAL	0.2
150	ENTAILMENT	0.571428571429
159	ENTAILMENT	0.909090909091
161	ENTAILMENT	0.625
163	NEUTRAL	0.0909090909091
164	NEUTRAL	0.363636363636
170	ENTAILMENT	0.857142857143
173	NEUTRAL	0.142857142857
176	NEUTRAL	0.142857142857
183	NEUTRAL	0.538461538462
184	NEUTRAL	0.2
186	NEUTRAL	0.363636363636
188	NEUTRAL	0.230769230769
192	ENTAILMENT	0.875
194	ENTAILMENT	0.625
200	ENTAILMENT	0.833333333333
201	ENTAILMENT	0.714285714286
202	ENTAILMENT	0.8
205	NEUTRAL	0.111111111111
215	CONTRADICTION	0.0
216	CONTRADICTION	0.0
217	CONTRADICTION	0.0
223	NEUTRAL	0.285714285714
224	NEUTRAL	0.333333333333
226	NEUTRAL	0.25
227	NEUTRAL	0.375
232	ENTAILMENT	0.8
233	ENTAILMENT	0.888888888889
234	NEUTRAL	0.222222222222
237	NEUTRAL	0.25
238	NEUTRAL	0.25
240	NEUTRAL	0.5
241	ENTAILMENT	0.8
248	NEUTRAL	0.5
249	NEUTRAL	0.25
254	ENTAILMENT	0.75
256	ENTAILMENT	0.846153846154
257	NEUTRAL	0.153846153846
258	NEUTRAL	0.0769230769231
259	NEUTRAL	0.166666666667
260	NEUTRAL	0.0833333333333
265	ENTAILMENT	0.875
266	ENTAILMENT	0.75
269	NEUTRAL	0.428571428571
272	NEUTRAL	0.285714285714
273	ENTAILMENT	0.8
276	ENTAILMENT	0.6
277	CONTRADICTION	0.0
279	NEUTRAL	0.2
283	ENTAILMENT	0.714285714286
286	CONTRADICTION	0.0
287	NEUTRAL	0.4
289	NEUTRAL	0.25
291	ENTAILMENT	0.7
293	ENTAILMENT	0.857142857143
296	NEUTRAL	0.1
301	ENTAILMENT	0.8
302	ENTAILMENT	1.0
303	ENTAILMENT	0.571428571429
305	NEUTRAL	0.222222222222
309	NEUTRAL	0.222222222222
310	NEUTRAL	0.222222222222
311	ENTAILMENT	0.6
312	ENTAILMENT	0.666666666667
313	ENTAILMENT	0.692307692308
315	ENTAILMENT	0.833333333333
323	ENTAILMENT	0.8
327	NEUTRAL	0.1
329	NEUTRAL	0.111111111111
331	ENTAILMENT	0.6
332	ENTAILMENT	0.8
333	NEUTRAL	0.4
335	NEUTRAL	0.5
338	NEUTRAL	0.1
339	NEUTRAL	0.2
340	ENTAILMENT	0.857142857143
341	ENTAILMENT	0.777777777778
342	ENTAILMENT	0.714285714286
344	ENTAILMENT	0.888888888889
346	NEUTRAL	0.222222222222
347	NEUTRAL	0.25
351	ENTAILMENT	0.727272727273
354	ENTAILMENT	0.818181818182
358	NEUTRAL	0.181818181818
360	NEUTRAL	0.181818181818
361	NEUTRAL	0.181818181818
362	ENTAILMENT	0.857142857143
363	ENTAILMENT	0.857142857143
366	NEUTRAL	0.5
367	NEUTRAL	0.428571428571
370	ENTAILMENT	0.666666666667
372	ENTAILMENT	0.8
373	NEUTRAL	0.555555555556
374	ENTAILMENT	0.8
375	ENTAILMENT	0.666666666667
377	NEUTRAL	0.3
378	NEUTRAL	0.125
379	NEUTRAL	0.333333333333
380	NEUTRAL	0.3
381	NEUTRAL	0.333333333333
387	NEUTRAL	0.555555555556
390	ENTAILMENT	0.777777777778
391	ENTAILMENT	0.75
392	ENTAILMENT	0.833333333333
393	ENTAILMENT	0.5625
395	ENTAILMENT	0.714285714286
396	NEUTRAL	0.1875
397	NEUTRAL	0.125
398	NEUTRAL	0.25
403	ENTAILMENT	0.714285714286
404	ENTAILMENT	0.75
409	NEUTRAL	0.142857142857
410	NEUTRAL	0.142857142857
413	ENTAILMENT	0.636363636364
415	ENTAILMENT	0.9
422	ENTAILMENT	0.75
423	ENTAILMENT	0.857142857143
427	NEUTRAL	0.416666666667
428	NEUTRAL	0.3
434	ENTAILMENT	0.6
435	NEUTRAL	0.428571428571
436	ENTAILMENT	0.857142857143
438	NEUTRAL	0.142857142857
439	NEUTRAL	0.285714285714
440	CONTRADICTION	0.0
441	NEUTRAL	0.142857142857
442	NEUTRAL	0.25
446	ENTAILMENT	0.8
447	CONTRADICTION	0.0
449	NEUTRAL	0.2
451	NEUTRAL	0.166666666667
454	ENTAILMENT	0.916666666667
457	NEUTRAL	0.363636363636
461	NEUTRAL	0.272727272727
462	NEUTRAL	0.333333333333
465	ENTAILMENT	0.833333333333
470	NEUTRAL	0.2
473	ENTAILMENT	0.75
475	NEUTRAL	0.538461538462
476	ENTAILMENT	0.7
477	NEUTRAL	0.153846153846
484	ENTAILMENT	0.75
485	ENTAILMENT	0.857142857143
486	NEUTRAL	0.5
489	ENTAILMENT	0.571428571429
491	ENTAILMENT	0.818181818182
494	ENTAILMENT	0.727272727273
496	NEUTRAL	0.363636363636
497	NEUTRAL	0.333333333333
499	NEUTRAL	0.153846153846
500	NEUTRAL	0.181818181818
505	ENTAILMENT	0.666666666667
506	ENTAILMENT	0.769230769231
507	NEUTRAL	0.5
508	NEUTRAL	0.333333333333
513	NEUTRAL	0.3
514	NEUTRAL	0.4
515	ENTAILMENT	0.833333333333
516	ENTAILMENT	0.642857142857
522	NEUTRAL	0.285714285714
524	NEUTRAL	0.5
527	NEUTRAL	0.333333333333
528	NEUTRAL	0.444444444444
529	NEUTRAL	0.2
531	NEUTRAL	0.555555555556
535	NEUTRAL	0.222222222222
538	CONTRADICTION	0.0
541	ENTAILMENT	0.923076923077
542	ENTAILMENT	0.857142857143
545	NEUTRAL	0.555555555556
548	NEUTRAL	0.166666666667
550	NEUTRAL	0.153846153846
551	NEUTRAL	0.142857142857
552	NEUTRAL	0.142857142857
555	NEUTRAL	0.363636363636
556	ENTAILMENT	0.636363636364
557	ENTAILMENT	0.818181818182
560	NEUTRAL	0.545454545455
561	NEUTRAL	0.545454545455
564	NEUTRAL	0.2
565	NEUTRAL	0.5
568	ENTAILMENT	0.818181818182
570	ENTAILMENT	0.888888888889
581	ENTAILMENT	0.769230769231
586	NEUTRAL	0.461538461538
587	NEUTRAL	0.538461538462
588	NEUTRAL	0.545454545455
597	NEUTRAL	0.25
599	NEUTRAL	0.307692307692
601	ENTAILMENT	0.75
603	ENTAILMENT	0.875
604	ENTAILMENT	0.875
605	ENTAILMENT	0.666666666667
606	NEUTRAL	0.125
609	NEUTRAL	0.142857142857
611	NEUTRAL	0.214285714286
617	ENTAILMENT	0.666666666667
621	NEUTRAL	0.272727272727
622	NEUTRAL	0.25
625	NEUTRAL	0.272727272727
626	ENTAILMENT	0.571428571429
628	NEUTRAL	0.5
629	ENTAILMENT	0.9
631	ENTAILMENT	0.727272727273
632	NEUTRAL	0.2
634	NEUTRAL	0.272727272727
637	NEUTRAL	0.222222222222
638	NEUTRAL	0.222222222222
641	NEUTRAL	0.5
643	ENTAILMENT	0.636363636364
645	NEUTRAL	0.2
646	NEUTRAL	0.181818181818
648	NEUTRAL	0.375
649	NEUTRAL	0.25
650	NEUTRAL	0.25
653	ENTAILMENT	0.7
655	ENTAILMENT	0.857142857143
657	NEUTRAL	0.416666666667
660	NEUTRAL	0.25
661	NEUTRAL	0.5
663	NEUTRAL	0.428571428571
668	ENTAILMENT	0.625
671	NEUTRAL	0.25
672	CONTRADICTION	0.0
676	ENTAILMENT	0.933333333333
678	NEUTRAL	0.5
679	ENTAILMENT	0.923076923077
680	ENTAILMENT	0.846153846154
685	NEUTRAL	0.333333333333
690	ENTAILMENT	0.9
691	ENTAILMENT	0.7
692	ENTAILMENT	0.833333333333
693	ENTAILMENT	0.8
696	NEUTRAL	0.133333333333
697	NEUTRAL	0.1
699	NEUTRAL	0.166666666667
702	ENTAILMENT	0.941176470588
703	ENTAILMENT	0.6875
704	ENTAILMENT	0.6875
709	NEUTRAL	0.294117647059
715	NEUTRAL	0.25
722	CONTRADICTION	0.0
723	CONTRADICTION	0.0
725	CONTRADICTION	0.0
727	ENTAILMENT	0.714285714286
728	ENTAILMENT	0.6
729	ENTAILMENT	0.8
730	ENTAILMENT	0.75
731	NEUTRAL	0.3
732	NEUTRAL	0.166666666667
733	NEUTRAL	0.222222222222
734	NEUTRAL	0.222222222222
735	NEUTRAL	0.222222222222
736	NEUTRAL	0.222222222222
737	ENTAILMENT	0.857142857143
738	ENTAILMENT	0.857142857143
741	ENTAILMENT	0.8
745	CONTRADICTION	0.0
746	CONTRADICTION	0.0
747	CONTRADICTION	0.0
748	CONTRADICTION	0.0
749	CONTRADICTION	0.0
752	ENTAILMENT	0.857142857143
754	NEUTRAL	0.428571428571
757	NEUTRAL	0.142857142857
760	ENTAILMENT	0.6
761	ENTAILMENT	0.75
762	ENTAILMENT	0.8
764	NEUTRAL	0.2
766	NEUTRAL	0.133333333333
769	NEUTRAL	0.142857142857
772	ENTAILMENT	0.888888888889
774	ENTAILMENT	0.7
777	NEUTRAL	0.25
783	ENTAILMENT	0.625
784	ENTAILMENT	0.714285714286
785	ENTAILMENT	0.7
789	NEUTRAL	0.333333333333
791	NEUTRAL	0.222222222222
792	NEUTRAL	0.125
793	NEUTRAL	0.285714285714
796	ENTAILMENT	0.909090909091
797	ENTAILMENT	0.636363636364
799	NEUTRAL	0.363636363636
802	NEUTRAL	0.363636363636
804	NEUTRAL	0.454545454545
811	NEUTRAL	0.0833333333333
812	NEUTRAL	0.0833333333333
813	NEUTRAL	0.142857142857
820	ENTAILMENT	0.6
822	NEUTRAL	0.181818181818
824	NEUTRAL	0.2
825	NEUTRAL	0.2
830	ENTAILMENT	0.888888888889
831	ENTAILMENT	0.8
836	NEUTRAL	0.222222222222
839	NEUTRAL	0.222222222222
841	ENTAILMENT	0.769230769231
844	ENTAILMENT	0.875
845	ENTAILMENT	0.571428571429
846	NEUTRAL	0.230769230769
848	NEUTRAL	0.153846153846
851	NEUTRAL	0.181818181818
852	NEUTRAL	0.230769230769
855	ENTAILMENT	0.7
857	ENTAILMENT	0.909090909091
858	ENTAILMENT	0.666666666667
859	ENTAILMENT	0.636363636364
862	NEUTRAL	0.545454545455
864	ENTAILMENT	0.9
866	ENTAILMENT	0.777777777778
867	ENTAILMENT	0.888888888889
868	ENTAILMENT	0.666666666667
869	ENTAILMENT	0.7
870	NEUTRAL	0.444444444444
872	NEUTRAL	0.4
874	NEUTRAL	0.3
876	NEUTRAL	0.555555555556
878	ENTAILMENT	0.8
879	ENTAILMENT	0.6
880	NEUTRAL	0.5
881	ENTAILMENT	0.7
883	NEUTRAL	0.333333333333
887	NEUTRAL	0.444444444444
888	NEUTRAL	0.428571428571
889	NEUTRAL	0.4
892	ENTAILMENT	0.923076923077
893	ENTAILMENT	0.785714285714
895	NEUTRAL	0.142857142857
898	NEUTRAL	0.230769230769
902	ENTAILMENT	0.7
904	ENTAILMENT	0.692307692308
906	NEUTRAL	0.222222222222
908	NEUTRAL	0.4
909	NEUTRAL	0.4
910	NEUTRAL	0.454545454545
915	ENTAILMENT	0.833333333333
917	CONTRADICTION	0.0
920	CONTRADICTION	0.0
922	CONTRADICTION	0.0
927	ENTAILMENT	0.714285714286
931	NEUTRAL	0.3
932	NEUTRAL	0.2
935	ENTAILMENT	0.583333333333
936	ENTAILMENT	0.625
940	NEUTRAL	0.166666666667
943	NEUTRAL	0.0714285714286
944	NEUTRAL	0.1
945	NEUTRAL	0.0625
948	ENTAILMENT	0.818181818182
949	ENTAILMENT	0.727272727273
950	ENTAILMENT	0.833333333333
953	NEUTRAL	0.363636363636
956	NEUTRAL	0.2
957	NEUTRAL	0.2
959	NEUTRAL	0.363636363636
960	ENTAILMENT	0.857142857143
961	ENTAILMENT	0.583333333333
962	NEUTRAL	0.5
963	ENTAILMENT	0.75
967	NEUTRAL	0.166666666667
970	NEUTRAL	0.0833333333333
973	ENTAILMENT	0.6
975	ENTAILMENT	0.7
978	ENTAILMENT	0.6
979	NEUTRAL	0.1
984	NEUTRAL	0.2
985	NEUTRAL	0.2
989	ENTAILMENT	0.923076923077
991	ENTAILMENT	0.583333333333
994	NEUTRAL	0.2
996	NEUTRAL	0.0833333333333
998	NEUTRAL	0.166666666667
1000	ENTAILMENT	0.6875
1002	ENTAILMENT	0.857142857143
1004	NEUTRAL	0.3125
1007	NEUTRAL	0.3125
1008	ENTAILMENT	0.9
1009	ENTAILMENT	0.75
1010	NEUTRAL	0.4
1016	NEUTRAL	0.307692307692
1018	NEUTRAL	0.25
1019	NEUTRAL	0.0833333333333
1021	ENTAILMENT	1.0
1022	ENTAILMENT	0.857142857143
1026	NEUTRAL	0.266666666667
1028	NEUTRAL	0.333333333333
1029	NEUTRAL	0.285714285714
1031	NEUTRAL	0.333333333333
1033	ENTAILMENT	0.714285714286
1037	NEUTRAL	0.375
1038	CONTRADICTION	0.0
1043	CONTRADICTION	0.0
1044	CONTRADICTION	0.0
1045	ENTAILMENT	0.666666666667
1046	ENTAILMENT	0.714285714286
1047	ENTAILMENT	0.625
1048	ENTAILMENT	0.888888888889
1049	ENTAILMENT	0.666666666667
1050	ENTAILMENT	0.666666666667
1052	NEUTRAL	0.111111111111
1053	NEUTRAL	0.111111111111
1054	NEUTRAL	0.333333333333
1055	NEUTRAL	0.125
1057	NEUTRAL	0.125
1061	ENTAILMENT	0.875
1064	NEUTRAL	0.25
1065	NEUTRAL	0.3
1068	NEUTRAL	0.333333333333
1069	NEUTRAL	0.25
1074	ENTAILMENT	0.75
1076	NEUTRAL	0.538461538462
1080	NEUTRAL	0.333333333333
1082	ENTAILMENT	0.846153846154
1083	ENTAILMENT	0.846153846154
1084	NEUTRAL	0.529411764706
1087	ENTAILMENT	0.857142857143
1088	NEUTRAL	0.533333333333
1090	ENTAILMENT	0.571428571429
1091	ENTAILMENT	0.571428571429
1092	ENTAILMENT	0.571428571429
1093	NEUTRAL	0.470588235294
1094	ENTAILMENT	0.571428571429
1095	ENTAILMENT	0.857142857143
1097	ENTAILMENT	0.666666666667
1099	ENTAILMENT	0.6
1104	CONTRADICTION	0.0
1105	CONTRADICTION	0.0
1108	ENTAILMENT	0.666666666667
1109	ENTAILMENT	0.833333333333
1111	NEUTRAL	0.166666666667
1112	NEUTRAL	0.142857142857
1115	NEUTRAL	0.166666666667
1117	ENTAILMENT	0.6
1118	ENTAILMENT	0.6
1120	ENTAILMENT	0.6
1122	ENTAILMENT	0.6
1128	ENTAILMENT	0.833333333333
1129	ENTAILMENT	0.75
1133	NEUTRAL	0.333333333333
1135	NEUTRAL	0.2
1145	CONTRADICTION	0.0
1147	CONTRADICTION	0.0
1149	ENTAILMENT	0.6
1153	NEUTRAL	0.4
1154	NEUTRAL	0.4
1155	NEUTRAL	0.4
1157	ENTAILMENT	0.833333333333
1161	NEUTRAL	0.166666666667
1162	NEUTRAL	0.333333333333
1165	NEUTRAL	0.333333333333
1167	ENTAILMENT	0.6
1169	ENTAILMENT	0.6
1175	NEUTRAL	0.333333333333
1179	NEUTRAL	0.25
1180	NEUTRAL	0.166666666667
1182	NEUTRAL	0.25
1184	ENTAILMENT	0.875
1188	ENTAILMENT	0.777777777778
1191	ENTAILMENT	0.75
1193	ENTAILMENT	0.6
1194	ENTAILMENT	0.666666666667
1195	ENTAILMENT	0.75
1196	NEUTRAL	0.375
1200	NEUTRAL	0.5
1202	NEUTRAL	0.4
1205	ENTAILMENT	0.75
1206	ENTAILMENT	0.6
1207	ENTAILMENT	0.8
1212	NEUTRAL	0.333333333333
1213	NEUTRAL	0.333333333333
1214	NEUTRAL	0.333333333333
1215	ENTAILMENT	0.75
1219	NEUTRAL	0.2
1221	NEUTRAL	0.4
1222	NEUTRAL	0.333333333333
1227	ENTAILMENT	0.6
1228	NEUTRAL	0.5
1230	NEUTRAL	0.333333333333
1239	NEUTRAL	0.142857142857
1240	NEUTRAL	0.5
1242	NEUTRAL	0.4
1244	NEUTRAL	0.5
1246	CONTRADICTION	0.0
1248	NEUTRAL	0.2
1249	NEUTRAL	0.2
1251	ENTAILMENT	0.666666666667
1255	NEUTRAL	0.333333333333
1259	NEUTRAL	0.333333333333
1268	NEUTRAL	0.25
1270	NEUTRAL	0.5
1271	NEUTRAL	0.333333333333
1273	NEUTRAL	0.333333333333
1274	NEUTRAL	0.25
1275	NEUTRAL	0.333333333333
1276	NEUTRAL	0.25
1280	NEUTRAL	0.5
1282	NEUTRAL	0.25
1283	NEUTRAL	0.2
1284	NEUTRAL	0.333333333333
1287	ENTAILMENT	0.8
1291	NEUTRAL	0.428571428571
1292	NEUTRAL	0.5
1293	NEUTRAL	0.5
1294	NEUTRAL	0.5
1297	ENTAILMENT	0.6
1303	NEUTRAL	0.4
1305	NEUTRAL	0.2
1308	ENTAILMENT	0.666666666667
1311	NEUTRAL	0.333333333333
1317	CONTRADICTION	0.0
1318	ENTAILMENT	0.666666666667
1319	ENTAILMENT	0.833333333333
1321	NEUTRAL	0.285714285714
1326	ENTAILMENT	0.666666666667
1328	NEUTRAL	0.5
1329	ENTAILMENT	0.666666666667
1335	NEUTRAL	0.333333333333
1336	NEUTRAL	0.333333333333
1341	ENTAILMENT	0.666666666667
1342	ENTAILMENT	0.666666666667
1344	NEUTRAL	0.4
1345	NEUTRAL	0.5
1346	NEUTRAL	0.5
1350	ENTAILMENT	0.714285714286
1352	NEUTRAL	0.222222222222
1354	NEUTRAL	0.2
1355	NEUTRAL	0.444444444444
1358	NEUTRAL	0.333333333333
1359	ENTAILMENT	0.666666666667
1361	ENTAILMENT	0.6
1365	NEUTRAL	0.2
1368	ENTAILMENT	0.6
1371	ENTAILMENT	0.666666666667
1372	NEUTRAL	0.5
1373	NEUTRAL	0.4
1376	NEUTRAL	0.5
1378	ENTAILMENT	0.571428571429
1379	ENTAILMENT	0.8
1380	NEUTRAL	0.142857142857
1381	NEUTRAL	0.4
1384	NEUTRAL	0.4
1385	ENTAILMENT	0.75
1386	ENTAILMENT	0.8
1387	ENTAILMENT	0.6
1388	NEUTRAL	0.5
1389	NEUTRAL	0.4
1399	NEUTRAL	0.25
1403	ENTAILMENT	0.571428571429
1404	ENTAILMENT	0.833333333333
1405	NEUTRAL	0.2
1407	CONTRADICTION	0.0
1408	CONTRADICTION	0.0
1409	CONTRADICTION	0.0
