pair_ID	relatedness_score	entailment_judgment
 6    2.554000    NaN
7    2.831943    NaN
8    2.474484    NaN
10    3.259898    NaN
11    3.548412    NaN
13    2.151517    NaN
15    2.671373    NaN
16    1.994637    NaN
17    1.874639    NaN
19    3.395714    NaN
20    3.136674    NaN
21    3.397706    NaN
22    3.633531    NaN
23    3.063639    NaN
27    2.064693    NaN
29    2.644170    NaN
31    3.260386    NaN
32    3.353319    NaN
33    3.393074    NaN
34    3.907747    NaN
36    2.657617    NaN
37    2.993872    NaN
38    2.403751    NaN
39    2.603673    NaN
41    3.679793    NaN
43    3.903759    NaN
46    2.832646    NaN
48    2.524782    NaN
50    2.242387    NaN
51    2.525937    NaN
52    3.853857    NaN
53    3.299608    NaN
54    3.133957    NaN
57    2.990048    NaN
59    2.873693    NaN
60    2.817545    NaN
61    2.903267    NaN
63    3.680918    NaN
64    3.143394    NaN
66    3.178684    NaN
67    3.396364    NaN
68    2.517620    NaN
69    3.102030    NaN
71    3.087252    NaN
74    3.697150    NaN
75    3.689915    NaN
76    2.249678    NaN
80    3.016756    NaN
86    2.224971    NaN
89    3.444434    NaN
92    3.370988    NaN
95    2.536488    NaN
96    2.435129    NaN
101    3.710178    NaN
102    3.448450    NaN
103    3.515412    NaN
104    3.627428    NaN
106    3.358399    NaN
108    2.490572    NaN
109    2.962731    NaN
110    2.713302    NaN
111    1.970737    NaN
114    2.275268    NaN
115    2.008264    NaN
118    3.176512    NaN
121    3.345645    NaN
123    2.667682    NaN
125    2.861360    NaN
128    2.686416    NaN
132    3.148794    NaN
134    3.149151    NaN
135    3.031539    NaN
137    3.197546    NaN
138    2.428596    NaN
142    2.614677    NaN
143    3.020788    NaN
144    2.818157    NaN
145    2.310281    NaN
147    2.309231    NaN
149    3.192693    NaN
151    2.908107    NaN
152    2.625720    NaN
153    3.337282    NaN
154    3.029031    NaN
155    2.931685    NaN
156    1.944898    NaN
157    3.300924    NaN
158    3.355336    NaN
160    3.048555    NaN
162    2.593928    NaN
165    2.233079    NaN
166    3.346756    NaN
167    3.042425    NaN
168    2.810928    NaN
169    3.487521    NaN
171    2.905693    NaN
172    2.476350    NaN
174    2.859916    NaN
175    3.037348    NaN
177    3.116917    NaN
178    3.228108    NaN
179    2.894680    NaN
180    3.762899    NaN
181    3.391745    NaN
182    3.425320    NaN
187    3.449290    NaN
189    2.706046    NaN
190    3.361256    NaN
191    3.134279    NaN
193    3.419393    NaN
195    2.952102    NaN
196    3.400962    NaN
198    3.501423    NaN
199    3.731404    NaN
203    2.893031    NaN
204    2.687826    NaN
206    2.338609    NaN
207    2.372114    NaN
208    2.535654    NaN
209    3.367853    NaN
210    3.064792    NaN
212    3.679281    NaN
213    1.856477    NaN
214    2.424477    NaN
220    3.132528    NaN
221    3.133561    NaN
222    3.208344    NaN
229    3.767783    NaN
230    3.161560    NaN
231    3.489707    NaN
235    2.382692    NaN
239    2.555990    NaN
242    2.478761    NaN
243    2.654012    NaN
244    2.856904    NaN
245    3.142093    NaN
246    2.374682    NaN
247    2.297523    NaN
250    2.817623    NaN
251    2.024910    NaN
252    2.631968    NaN
255    2.803851    NaN
261    2.602680    NaN
262    3.400095    NaN
263    2.814580    NaN
264    3.007141    NaN
267    2.282285    NaN
268    2.640464    NaN
270    3.026605    NaN
271    2.752846    NaN
274    3.766312    NaN
275    3.318198    NaN
278    2.906531    NaN
281    2.406514    NaN
282    3.907417    NaN
284    3.138936    NaN
288    2.449953    NaN
